MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
127,B4_K04_I01-04-05-09,Branch4,PowerREV,4,3,1/4/5/9,0/135/180/360,3,3.89212678276529,1,0,
128,B4_K04_I01-04-06-07,Branch4,PowerREV,4,4,1/4/6/7,0/135/225/270,3,1.71198246026788,1,0,
129,B4_K04_I01-04-06-08,Branch4,PowerREV,4,4,1/4/6/8,0/135/225/315,3,1.84282769753824,1,0,
130,B4_K04_I01-04-06-09,Branch4,PowerREV,4,3,1/4/6/9,0/135/225/360,3,1.78196865016586,1,0,
131,B4_K04_I01-04-07-08,Branch4,PowerREV,4,4,1/4/7/8,0/135/270/315,3,2.03950773330883,1,0,
132,B4_K04_I01-04-07-09,Branch4,PowerREV,4,3,1/4/7/9,0/135/270/360,3,1.96630756754375,1,0,
133,B4_K04_I01-04-08-09,Branch4,PowerREV,4,3,1/4/8/9,0/135/315/360,3,3.73205080756888,1,0,
134,B4_K04_I01-05-06-07,Branch4,PowerREV,4,4,1/5/6/7,0/180/225/270,3,2.86467557480933,1,0,
135,B4_K04_I01-05-06-08,Branch4,PowerREV,4,4,1/5/6/8,0/180/225/315,3,3.20041258076506,1,0,
136,B4_K04_I01-05-06-09,Branch4,PowerREV,4,3,1/5/6/9,0/180/225/360,3,3.89212678276529,1,0,
137,B4_K04_I01-05-07-08,Branch4,PowerREV,4,4,1/5/7/8,0/180/270/315,3,2.86467557480933,1,0,
138,B4_K04_I01-05-07-09,Branch4,PowerREV,4,3,1/5/7/9,0/180/270/360,3,2.63912204644935,1,0,
139,B4_K04_I01-05-08-09,Branch4,PowerREV,4,3,1/5/8/9,0/180/315/360,3,3.49884359610929,1,0,
140,B4_K04_I01-06-07-08,Branch4,PowerREV,4,4,1/6/7/8,0/225/270/315,3,5.35659130799869,1,0,
141,B4_K04_I01-06-07-09,Branch4,PowerREV,4,3,1/6/7/9,0/225/270/360,3,5.74324765659698,1,0,
142,B4_K04_I01-06-08-09,Branch4,PowerREV,4,3,1/6/8/9,0/225/315/360,3,5.87683187570298,1,0,
143,B4_K04_I01-07-08-09,Branch4,PowerREV,4,3,1/7/8/9,0/270/315/360,3,14.3768344528317,1,0,
144,B4_K04_I02-03-04-05,Branch4,PowerREV,4,4,2/3/4/5,45/90/135/180,3,5.35659130799869,1,0,
145,B4_K04_I02-03-04-06,Branch4,PowerREV,4,4,2/3/4/6,45/90/135/225,3,2.86467557480933,1,0,
146,B4_K04_I02-03-04-07,Branch4,PowerREV,4,4,2/3/4/7,45/90/135/270,3,2.03950773330883,1,0,
147,B4_K04_I02-03-04-08,Branch4,PowerREV,4,4,2/3/4/8,45/90/135/315,3,2.86467557480933,1,0,
148,B4_K04_I02-03-04-09,Branch4,PowerREV,4,4,2/3/4/9,45/90/135/360,3,5.35659130799869,1,0,
149,B4_K04_I02-03-05-06,Branch4,PowerREV,4,4,2/3/5/6,45/90/180/225,3,3.20041258076506,1,0,
150,B4_K04_I02-03-05-07,Branch4,PowerREV,4,4,2/3/5/7,45/90/180/270,3,1.84282769753824,1,0,
151,B4_K04_I02-03-05-08,Branch4,PowerREV,4,4,2/3/5/8,45/90/180/315,3,1.71198246026788,1,0,
152,B4_K04_I02-03-05-09,Branch4,PowerREV,4,4,2/3/5/9,45/90/180/360,3,2.86467557480933,1,0,
153,B4_K04_I02-03-06-07,Branch4,PowerREV,4,4,2/3/6/7,45/90/225/270,3,2.41421356237309,1,0,
154,B4_K04_I02-03-06-08,Branch4,PowerREV,4,4,2/3/6/8,45/90/225/315,3,1.84282769753824,1,0,
155,B4_K04_I02-03-06-09,Branch4,PowerREV,4,4,2/3/6/9,45/90/225/360,3,2.03950773330884,1,0,
156,B4_K04_I02-03-07-08,Branch4,PowerREV,4,4,2/3/7/8,45/90/270/315,3,3.20041258076506,1,0,
157,B4_K04_I02-03-07-09,Branch4,PowerREV,4,4,2/3/7/9,45/90/270/360,3,2.86467557480933,1,0,
158,B4_K04_I02-03-08-09,Branch4,PowerREV,4,4,2/3/8/9,45/90/315/360,3,5.35659130799869,1,0,
159,B4_K04_I02-04-05-06,Branch4,PowerREV,4,4,2/4/5/6,45/135/180/225,3,2.86467557480933,1,0,
160,B4_K04_I02-04-05-07,Branch4,PowerREV,4,4,2/4/5/7,45/135/180/270,3,1.71198246026788,1,0,
161,B4_K04_I02-04-05-08,Branch4,PowerREV,4,4,2/4/5/8,45/135/180/315,3,1.84282769753824,1,0,
162,B4_K04_I02-04-05-09,Branch4,PowerREV,4,4,2/4/5/9,45/135/180/360,3,3.20041258076506,1,0,
163,B4_K04_I02-04-06-07,Branch4,PowerREV,4,4,2/4/6/7,45/135/225/270,3,1.84282769753824,1,0,
164,B4_K04_I02-04-06-08,Branch4,PowerREV,4,4,2/4/6/8,45/135/225/315,3,1.4142135623731,1,0,
165,B4_K04_I02-04-06-09,Branch4,PowerREV,4,4,2/4/6/9,45/135/225/360,3,1.84282769753824,1,0,
166,B4_K04_I02-04-07-08,Branch4,PowerREV,4,4,2/4/7/8,45/135/270/315,3,1.84282769753824,1,0,
167,B4_K04_I02-04-07-09,Branch4,PowerREV,4,4,2/4/7/9,45/135/270/360,3,1.71198246026788,1,0,
168,B4_K04_I02-04-08-09,Branch4,PowerREV,4,4,2/4/8/9,45/135/315/360,3,2.86467557480933,1,0,
169,B4_K04_I02-05-06-07,Branch4,PowerREV,4,4,2/5/6/7,45/180/225/270,3,2.03950773330884,1,0,
170,B4_K04_I02-05-06-08,Branch4,PowerREV,4,4,2/5/6/8,45/180/225/315,3,1.84282769753824,1,0,
171,B4_K04_I02-05-06-09,Branch4,PowerREV,4,4,2/5/6/9,45/180/225/360,3,2.4142135623731,1,0,
172,B4_K04_I02-05-07-08,Branch4,PowerREV,4,4,2/5/7/8,45/180/270/315,3,1.71198246026788,1,0,
173,B4_K04_I02-05-07-09,Branch4,PowerREV,4,4,2/5/7/9,45/180/270/360,3,1.84282769753824,1,0,
174,B4_K04_I02-05-08-09,Branch4,PowerREV,4,4,2/5/8/9,45/180/315/360,3,2.03950773330883,1,0,
175,B4_K04_I02-06-07-08,Branch4,PowerREV,4,4,2/6/7/8,45/225/270/315,3,2.86467557480933,1,0,
176,B4_K04_I02-06-07-09,Branch4,PowerREV,4,4,2/6/7/9,45/225/270/360,3,3.20041258076506,1,0,
177,B4_K04_I02-06-08-09,Branch4,PowerREV,4,4,2/6/8/9,45/225/315/360,3,2.86467557480933,1,0,
178,B4_K04_I02-07-08-09,Branch4,PowerREV,4,4,2/7/8/9,45/270/315/360,3,5.35659130799869,1,0,
179,B4_K04_I03-04-05-06,Branch4,PowerREV,4,4,3/4/5/6,90/135/180/225,3,5.35659130799869,1,0,
180,B4_K04_I03-04-05-07,Branch4,PowerREV,4,4,3/4/5/7,90/135/180/270,3,2.86467557480933,1,0,
181,B4_K04_I03-04-05-08,Branch4,PowerREV,4,4,3/4/5/8,90/135/180/315,3,2.03950773330883,1,0,
182,B4_K04_I03-04-05-09,Branch4,PowerREV,4,4,3/4/5/9,90/135/180/360,3,2.86467557480933,1,0,
183,B4_K04_I03-04-06-07,Branch4,PowerREV,4,4,3/4/6/7,90/135/225/270,3,3.20041258076506,1,0,
184,B4_K04_I03-04-06-08,Branch4,PowerREV,4,4,3/4/6/8,90/135/225/315,3,1.84282769753824,1,0,
185,B4_K04_I03-04-06-09,Branch4,PowerREV,4,4,3/4/6/9,90/135/225/360,3,1.71198246026788,1,0,
186,B4_K04_I03-04-07-08,Branch4,PowerREV,4,4,3/4/7/8,90/135/270/315,3,2.41421356237309,1,0,
187,B4_K04_I03-04-07-09,Branch4,PowerREV,4,4,3/4/7/9,90/135/270/360,3,1.84282769753824,1,0,
188,B4_K04_I03-04-08-09,Branch4,PowerREV,4,4,3/4/8/9,90/135/315/360,3,3.20041258076506,1,0,
189,B4_K04_I03-05-06-07,Branch4,PowerREV,4,4,3/5/6/7,90/180/225/270,3,2.86467557480933,1,0,
190,B4_K04_I03-05-06-08,Branch4,PowerREV,4,4,3/5/6/8,90/180/225/315,3,1.71198246026788,1,0,
191,B4_K04_I03-05-06-09,Branch4,PowerREV,4,4,3/5/6/9,90/180/225/360,3,1.84282769753824,1,0,
192,B4_K04_I03-05-07-08,Branch4,PowerREV,4,4,3/5/7/8,90/180/270/315,3,1.84282769753824,1,0,
